结构体名	所在文件	行号	字段摘要	是否含文本业务字段	是否含项目结构字段	写入方	读取方	外部读取	初步分类
结构_结果复现判定	自我动作实现模块.ixx	3334	bool 可比较 = false; | bool 复现 = false; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_结果节点复现判定	自我动作实现模块.ixx	3339	方法类::节点类* 节点 = nullptr; | bool 可比较 = false; | bool 复现 = false; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_本能方法自身环境	自我动作实现模块.ixx	4403	方法类::节点类* 方法首节点 = nullptr; | 方法类::节点类* 方法条件节点 = nullptr; | 存在节点类* 方法虚拟存在 = nullptr; | 存在节点类* 本轮运行虚拟存在 = nullptr; | 场景节点类* 条件场景 = nullptr; | 场景节点类* 结果场景 = nullptr; | bool 方法头已就绪 = false; | bool 方法条件节点已就绪 = false; | ...(+8)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_查找限制	自我动作实现模块.ixx	4727	基础信息节点类* 最高允许目标特征类型 = nullptr; | const 语素入口节点类* 最高允许目标特征类型词 = nullptr; | 基础信息节点类* 最高允许宿主类型 = nullptr; | const 语素入口节点类* 最高允许宿主类型词 = nullptr; | const 语素入口节点类* 允许值类型 = nullptr; | bool 有允许执行差值区间 = true; | I64 允许执行差值下界 = (std::numeric_limits<I64>::min)(); | I64 允许执行差值上界 = (std::numeric_limits<I64>::max)(); | ...(+7)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_条件项视图	自我动作实现模块.ixx	4744	const 语素入口节点类* 条件特征类型 = nullptr; | bool 有I64点值 = false; | I64 I64点值 = 0; | bool 有I64区间 = false; | I64 区间下界 = 0; | I64 区间上界 = 0; | 基础信息节点类* 抽象特征引用 = nullptr; | 基础信息节点类* 存在引用 = nullptr; | ...(+5)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_类型匹配结果	自我动作实现模块.ixx	4759	bool 成功 = false; | I64 抽象距离 = 0; | const 语素入口节点类* 失败原因 = nullptr; | std::vector<基础信息节点类*> 路径{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法条件节点匹配结果	自我动作实现模块.ixx	5049	方法类::节点类* 条件节点 = nullptr; | 场景节点类* 条件场景 = nullptr; | 特征节点类* 条件集合 = nullptr; | I64 条件槽数量 = 0; | I64 必需条件数量 = 0; | I64 已匹配必需条件数量 = 0; | const 语素入口节点类* 失败原因 = nullptr; | const 语素入口节点类* 失败条件特征类型 = nullptr; | ...(+5)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法条件绑定结果	自我动作实现模块.ixx	5261	bool 匹配成功 = false; | bool 参数完整 = false; | 方法类::节点类* 条件节点 = nullptr; | 方法类::节点类* 结果节点 = nullptr; | 场景节点类* 输入参数场景 = nullptr; | 基础信息节点类* 输入包 = nullptr; | 方法类::节点类* 目标方法头节点 = nullptr; | 基础信息节点类* 来源因果信息 = nullptr; | ...(+10)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法域I64提交结果	自我动作实现模块.ixx	9454	bool 成功 = false; | I64 旧值 = 0; | I64 新值 = 0; | 状态节点类* 实际状态 = nullptr; | 动态节点类* 动态 = nullptr; | const 语素入口节点类* 失败原因 = nullptr; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_条件结果对提交结果	自我动作实现模块.ixx	9463	bool 成功 = false; | 结构_方法条件结果节点 节点{}; | 动态节点类* 动态 = nullptr; | const 语素入口节点类* 失败原因 = nullptr; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务状态动作动态输出结果	自我动作实现模块.ixx	11262	动态节点类* 动态 = nullptr; | 枚举_任务状态动作动态失败原因::无; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法自检补全结果	自我类.初始化.cpp	383	存在节点类* 方法虚拟存在 = nullptr; | 特征节点类* 方法自检结果 = nullptr; | 特征节点类* 方法补齐问题 = nullptr; | 特征节点类* 方法能力包 = nullptr; | 特征节点类* 形参包 = nullptr; | 特征节点类* 结果包 = nullptr; | 特征节点类* 条件结果对 = nullptr; | 特征节点类* 试运行限制包 = nullptr; | ...(+5)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_执行前方法自检结果	自我类.初始化.cpp	582	存在节点类* 方法虚拟存在 = nullptr; | 特征节点类* 方法自检结果 = nullptr; | 特征节点类* 方法补齐问题 = nullptr; | I64 自我能力值 = 0; | bool 有执行入口 = false; | bool 有自我能力值 = false; | bool 有方法能力包 = false; | bool 有形参包 = false; | ...(+6)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_自我初始化步骤记录	自我类.ixx	33	枚举_自我初始化阶段 阶段 = 枚举_自我初始化阶段::未定义; | std::string 名称{}; | bool 成功 = false; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_自我初始化结果	自我类.ixx	39	bool 数据层已初始化 = false; | bool 语素层已就绪 = false; | bool 概念层已就绪 = false; | bool 当前活动自我已就绪 = false; | bool 自我存在已就绪 = false; | bool 自我现实场景已就绪 = false; | bool 自我内部世界已就绪 = false; | bool 自我锚点已初始化 = false; | ...(+22)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_根任务权重	自我类.ixx	101	std::int64_t 安全 = 10000; | std::int64_t 服务 = 10000; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_需求分支刷新范围	自我线程模块.消息处理器.ixx	23	std::unordered_set<std::string> 变更前节点主键集合{}; | std::unordered_set<std::string> 当前节点主键集合{}; | std::unordered_set<const 语素入口节点类*> 受影响类型集合{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_消息处理动作	自我线程模块.消息处理器.ixx	29	bool 更新线程控制态 = false; | bool 更新线程上下文包 = false; | bool 更新需求树或队列 = false; | bool 更新任务控制态 = false; | bool 更新任务局部推进态 = false; | bool 更新工作线程状态表 = false; | bool 更新结果缓存 = false; | bool 重算二次特征 = false; | ...(+10)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_单消息处理结果	自我线程模块.消息处理器.ixx	49	结构_消息处理动作 动作{}; | bool 触发需求队列刷新 = false; | bool 有派生需求待实例化 = false; | bool 有子结果待路由 = false; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_消息批次处理摘要	自我线程模块.消息处理器.ixx	56	bool 触发需求队列刷新 = false; | bool 触发根层重判 = false; | bool 触发主派发决议 = false; | bool 可能实例化新任务 = false; | bool 可能触发收束 = false; | bool 可能触发停止 = false; | bool 有派生需求待实例化 = false; | bool 有子结果待路由 = false; | ...(+1)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_需求列表刷新决策	自我线程模块.消息处理器.ixx	67	bool 需要刷新 = false; | bool 可以局部刷新 = false; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_治理消息批次	自我线程模块.消息批次执行器.ixx	21	std::vector<自我线程消息协议::结构_治理消息> 全部消息{}; | std::vector<自我线程消息协议::结构_治理消息> 抢占消息{}; | std::vector<自我线程消息协议::结构_治理消息> 普通消息{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程裁决结果	自我线程模块.消息批次执行器.ixx	27	枚举_任务管理根层重判结果 根层重判结果 = 枚举_任务管理根层重判结果::未定义; | 枚举_任务管理执行前门控结果 执行前门控结果 = 枚举_任务管理执行前门控结果::未定义; | std::string 上层反馈摘要{}; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_治理消息头	自我线程模块.消息协议.ixx	162	std::uint64_t 消息主键 = 0; | std::uint64_t 回复目标消息主键 = 0; | 枚举_消息来源链 来源链 = 枚举_消息来源链::未定义; | std::uintptr_t 来源链抽象特征指针 = 0; | I64 来源链值 = 0; | 枚举_消息处理类型 处理类型 = 枚举_消息处理类型::未定义; | std::uintptr_t 处理类型抽象特征指针 = 0; | I64 处理类型值 = 0; | ...(+19)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_特征变化项	自我线程模块.消息协议.ixx	191	枚举_存在类型 变化主体类型 = 枚举_存在类型::未定义; | std::uintptr_t 变化主体类型抽象特征指针 = 0; | I64 变化主体类型值 = 0; | std::uint64_t 变化主体主键 = 0; | 枚举_特征类型 特征类型 = 枚举_特征类型::未定义; | std::uintptr_t 特征类型抽象特征指针 = 0; | I64 特征类型值 = 0; | std::uint64_t 特征主键 = 0; | ...(+7)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_关键中间状态变化项	自我线程模块.消息协议.ixx	208	std::uint64_t 动作主体主键 = 0; | std::string 动作语义键{}; | std::uint64_t 变化主体主键 = 0; | std::uint64_t 特征主键 = 0; | 特征值 变化前值{}; | 特征值 变化后值{}; | 时间戳 发生时间 = 0; | bool 已确认生效 = false; | ...(+2)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_结果回流提示段	自我线程模块.消息协议.ixx	220	bool 可能存在反向推进 = false; | bool 可能形成阻塞 = false; | bool 可能影响父任务 = false; | bool 可能形成否定项候选 = false; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务结果回流消息	自我线程模块.消息协议.ixx	227	std::uint64_t 任务主键 = 0; | std::uint64_t 父任务主键 = 0; | 枚举_结果状态 最终结果状态 = 枚举_结果状态::未定义; | std::uintptr_t 最终结果状态抽象特征指针 = 0; | I64 最终结果状态值 = 0; | 特征值 最终结果值{}; | std::vector<结构_关键中间状态变化项> 关键中间变化集{}; | 结构_结果回流提示段 提示段{}; | ...(+1)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_执行尝试对账结果	自我线程模块.消息协议.ixx	238	枚举_执行尝试对账结论 结论 = 枚举_执行尝试对账结论::未定义; | std::uintptr_t 结论抽象特征指针 = 0; | I64 结论值 = 0; | bool 是否同一次执行尝试 = false; | bool 是否完整 = false; | bool 是否一致 = false; | bool 是否进入待确认池 = false; | std::string 说明{}; | ...(+1)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_执行尝试汇总	自我线程模块.消息协议.ixx	249	bool 已建立执行尝试基准 = false; | std::uint64_t 执行尝试主键 = 0; | std::uint64_t 任务管理任务主键 = 0; | std::uint64_t 任务主键 = 0; | std::uint64_t 父任务主键 = 0; | std::uint64_t 步骤主键 = 0; | std::uint64_t 路径签名 = 0; | std::uint64_t 执行尝试号 = 0; | ...(+33)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程状态变化消息段	自我线程模块.消息协议.ixx	298	时间戳 发生时间 = 0; | 枚举_存在类型 决策者类型 = 枚举_存在类型::未定义; | std::uint64_t 决策者主键 = 0; | std::string 决策者标签{}; | std::string 触发动作{}; | std::string 原因键{}; | std::string 原因摘要{}; | std::uint64_t 线程存在主键 = 0; | ...(+13)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_存在动作语义	自我线程模块.消息协议.ixx	322	枚举_存在类型 发出者类型 = 枚举_存在类型::未定义; | std::uint64_t 发出者主键 = 0; | 枚举_存在类型 动作主体类型 = 枚举_存在类型::未定义; | std::uint64_t 动作主体主键 = 0; | 枚举_动作类型 动作类型 = 枚举_动作类型::未定义; | std::uintptr_t 动作类型抽象特征指针 = 0; | I64 动作类型值 = 0; | std::string 动作语义键{}; | ...(+7)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_治理消息来源诊断	自我线程模块.消息协议.ixx	339	std::uint64_t 来源最小原语位图 = 0; | std::string 来源主观察特征{}; | std::string 影子验证状态{}; | bool 允许正式资产提交 = false; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_自检缺口候选消息	自我线程模块.消息协议.ixx	346	枚举_自检候选类型 候选类型 = 枚举_自检候选类型::未定义; | I64 候选类型值 = 0; | std::uintptr_t 缺口类型抽象特征指针 = 0; | I64 缺口类型值 = 0; | std::uintptr_t 来源对象类型抽象特征指针 = 0; | I64 来源对象类型值 = 0; | std::uintptr_t 来源方法能力抽象特征指针 = 0; | I64 来源方法能力值 = 0; | ...(+32)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_自检报告消息	自我线程模块.消息协议.ixx	388	std::uint64_t 报告ID = 0; | 时间戳 生成时间 = 0; | std::uint64_t 来源自检线程主键 = 0; | std::uintptr_t 自检范围抽象特征指针 = 0; | I64 自检范围值 = 0; | std::vector<结构_自检缺口候选消息> 缺口候选集{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_控制面板刷新请求消息	自我线程模块.消息协议.ixx	397	时间戳 请求时间 = 0; | std::uint64_t 来源界面主键 = 0; | std::uintptr_t 刷新原因抽象特征指针 = 0; | I64 刷新原因值 = 0; | bool 强制刷新 = false; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_治理消息附加载荷	自我线程模块.消息协议.ixx	405	std::optional<结构_治理恢复快照> 恢复快照{}; | std::optional<结构_需求树更新指令> 需求树更新{}; | std::optional<结构_线程状态变化消息段> 线程状态变化{}; | std::optional<结构_任务管理线程状态消息> 任务管理线程状态{}; | std::optional<结构_任务管理派生需求消息> 任务管理派生需求{}; | std::optional<结构_任务管理结果状态消息> 任务管理结果状态{}; | std::optional<结构_任务管理观察事实承接请求> 任务管理观察事实承接请求{}; | std::optional<结构_任务管理执行前许可请求消息> 任务管理执行前许可请求{}; | ...(+5)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_治理消息轨迹	自我线程模块.消息协议.ixx	420	std::uint32_t 重放代数 = 0; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_治理消息	自我线程模块.消息协议.ixx	424	结构_治理消息头 头{}; | 结构_存在动作语义 语义{}; | 结构_治理消息来源诊断 来源{}; | 结构_治理消息附加载荷 附加载荷{}; | 结构_治理消息轨迹 轨迹{}; | std::vector<结构_特征变化项> 变化项集{}; | std::string 载荷键{}; | std::string 摘要{}; | ...(+1)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_抽象根特征定义_线程侧	自我线程模块.impl.cpp	224	枚举_自我根特征类型_线程侧 根特征类型 = 枚举_自我根特征类型_线程侧::安全; | 枚举_抽象根特征定义读取状态_线程侧::抽象特征根缺失; | const 语素入口节点类* 自我特征类型 = nullptr; | 抽象特征节点类* 抽象定义节点 = nullptr; | 抽象特征节点类* 目标状态节点 = nullptr; | 抽象特征节点类* 最低阈值状态节点 = nullptr; | I64区间 目标区间{ 0, -1 }; | I64区间 最低阈值区间{ 0, -1 }; | ...(+4)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_根特征必要条件定义_线程侧	自我线程模块.impl.cpp	244	枚举_自我根特征类型_线程侧 根特征类型 = 枚举_自我根特征类型_线程侧::安全; | std::string 条件键{}; | std::string 检查宿主语义{}; | const 语素入口节点类* 检查特征类型 = nullptr; | std::string 目标状态文本{}; | I64 目标值 = 1; | std::string 缺口需求名称文本{}; | const 语素入口节点类* 缺口需求名称 = nullptr; | ...(+4)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_根闭环信息位_线程侧	自我线程模块.impl.cpp	281	枚举_自我根特征类型_线程侧 根特征类型 = 枚举_自我根特征类型_线程侧::安全; | std::size_t 位置序号 = 0; | std::string 根定义编号{}; | std::string 闭环位置{}; | std::string 事实类型{}; | std::string 目标语义要求{}; | std::string 闭合证据{}; | std::string 缺口类型{}; | ...(+11)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程任务价值反馈段	自我线程模块.impl.cpp	637	std::string 反馈事件主键{}; | I64 本次安全满足量 = 0; | I64 本次服务满足量 = 0; | I64 安全累计比例_百万分比 = -1; | I64 服务累计比例_百万分比 = -1; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程服务价值结算证据摘要	自我线程模块.impl.cpp	645	std::size_t 服务对象外在特征状态变化数 = 0; | bool 有服务对象外在特征状态改善证据 = false; | bool 服务结果可验证 = false; | bool 服务结果可归因于自我动作 = false; | std::vector<std::string> 缺失证据{}; | std::string 摘要{}; | && 服务结果可归因于自我动作; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程成功服务G0候选结果	自我线程模块.impl.cpp	662	bool 已尝试 = false; | bool 成功 = false; | 存在节点类* G0治理视图 = nullptr; | 存在节点类* 候选记录 = nullptr; | I64 候选状态 = static_cast<I64>(服务模块::枚举_成功服务候选状态::未形成); | I64 服务层级 = static_cast<I64>(服务模块::枚举_成功服务层级::L0); | std::string 摘要{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程G0服务值饱和入账结果	自我线程模块.impl.cpp	672	bool 已尝试 = false; | bool 已结算 = false; | I64 旧服务值 = 0; | I64 新服务值 = 0; | I64 实际服务增量 = 0; | I64 lambda使用 = 0; | 动态节点类* D2_服务值结算动作动态 = nullptr; | std::string 摘要{}; | ...(+1)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程服务治理维护结果	自我线程模块.impl.cpp	683	bool 已执行候选复核 = false; | bool 已执行服务衰减 = false; | bool 休眠候选 = false; | std::size_t 扫描任务数 = 0; | std::size_t 复核候选数 = 0; | std::size_t 确认入账数 = 0; | I64 衰减前服务值 = 0; | I64 衰减后服务值 = 0; | ...(+3)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程价值结算结果	自我线程模块.impl.cpp	696	bool 成功 = false; | bool 已处理 = false; | bool 已去重 = false; | I64 旧安全值 = 0; | I64 新安全值 = 0; | I64 旧服务值 = 0; | I64 新服务值 = 0; | I64 实际安全增量 = 0; | ...(+4)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程结算因果投影预判	自我线程模块.impl.cpp	710	bool 已查询 = false; | bool 缺硬目标证据 = false; | 结构_叶子任务因果投影预判 预判{}; | std::string 摘要{}; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_叶子任务正式结算证据	自我线程模块.impl.cpp	717	任务节点* 叶子任务 = nullptr; | 需求节点* 来源需求 = nullptr; | 动态节点类* D0_业务动作动态 = nullptr; | 动态节点类* 任务完成动作动态 = nullptr; | 场景节点类* 输出结果场景 = nullptr; | 状态节点类* before状态 = nullptr; | 状态节点类* target状态 = nullptr; | 状态节点类* actual状态 = nullptr; | ...(+10)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_线程需求收束结果	自我线程模块.impl.cpp	743	bool 成功 = false; | bool 当前状态已回写 = false; | bool 已写结算 = false; | bool 已刷新权重 = false; | std::string 摘要{}; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_安全因果默认满足提交结果	自我线程模块.impl.cpp	751	bool 已尝试 = false; | bool 成功 = false; | 存在节点类* 运行存在 = nullptr; | 动态节点类* 提交动作动态 = nullptr; | std::string 摘要{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_风险安全场景影响提交结果	自我线程模块.impl.cpp	759	bool 已尝试 = false; | bool 成功 = false; | bool 已拒绝 = false; | 基础信息节点类* 因素宿主 = nullptr; | 存在节点类* 运行存在 = nullptr; | 动态节点类* 提交动作动态 = nullptr; | I64 提交状态 = 0; | I64 已入账状态 = 0; | ...(+2)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_风险安全层聚合候选结果	自我线程模块.impl.cpp	771	bool 已尝试 = false; | bool 已更新 = false; | 基础信息节点类* 层宿主 = nullptr; | I64 风险因素已入账掩码 = 0; | I64 风险因素默认满足掩码 = 0; | I64 风险因素未搜索掩码 = 0; | I64 风险安全层缺失因素数量 = 0; | I64 风险安全层可聚合状态 = 0; | ...(+4)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_安全因果风险树线程维护结果	自我线程模块.impl.cpp	785	bool 已执行 = false; | bool 已跳过 = false; | bool 已同步 = false; | bool 版本变化 = false; | std::size_t 节点数量 = 0; | std::size_t 因果前置缺口数量 = 0; | std::size_t 搜索缺口数量 = 0; | std::size_t 场景特征值明确缺口数量 = 0; | ...(+5)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_父任务重筹办唤醒项_线程侧	自我线程模块.impl.cpp	2328	任务节点* 父任务 = nullptr; | 枚举_任务状态 原状态 = 枚举_任务状态::未定义; | 枚举_任务状态 新状态 = 枚举_任务状态::未定义; | 枚举_任务阶段 原阶段 = 枚举_任务阶段::未定义; | 枚举_任务阶段 新阶段 = 枚举_任务阶段::未定义; | 动态节点类* 父任务状态动作动态 = nullptr; | bool 等待缺口唤醒 = false; | bool 父需求整体已满足 = false; | ...(+5)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_父任务重筹办唤醒结果_线程侧	自我线程模块.impl.cpp	2343	需求节点* 子需求 = nullptr; | 需求节点* 父需求 = nullptr; | 任务节点* 子任务 = nullptr; | 动态节点类* 子任务状态动作动态 = nullptr; | std::size_t 已唤醒数量 = 0; | std::size_t 已提交重筹办治理数量 = 0; | std::size_t 已登记重筹办工作项数量 = 0; | std::vector<结构_父任务重筹办唤醒项_线程侧> 唤醒项集{}; | ...(+1)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_任务结算域判定_线程侧	自我线程模块.impl.cpp	2380	枚举_任务结算域_线程侧 域 = 枚举_任务结算域_线程侧::仅闭账; | std::string 原因{}; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_非核心结算闭账结果_线程侧	自我线程模块.impl.cpp	2385	bool 成功 = false; | bool 已提交已结算 = false; | 动态节点类* 任务闭账动作动态 = nullptr; | std::string 摘要{}; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_横向结算候选_线程侧	自我线程模块.impl.cpp	4549	需求节点* 需求 = nullptr; | 任务节点* 任务 = nullptr; | I64 排序评分 = 0; | I64 外溢量 = 0; | I64 当前值 = 0; | I64 目标值 = 0; | I64 结果值 = 0; | std::string 需求主键{}; | ...(+2)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_学习任务去重签名_线程侧	自我线程模块.impl.cpp	5310	std::string 来源方法主键{}; | std::string 目标主体主键{}; | std::string 目标特征类型主键{}; | std::string 目标状态键{}; | 三向关系掩码 满足关系 = 关系_等于; | && 满足关系 != 0; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_父需求目标回查结果_任务管理新链	自我线程模块.impl.cpp	5706	bool 已回查 = false; | bool 父目标已判断 = false; | bool 父目标可比较 = false; | bool 父目标已满足 = false; | bool 使用主键相等判断 = false; | bool 原递归满足判定 = false; | bool 可直接子需求聚合 = false; | bool 直接子需求聚合已满足 = false; | ...(+7)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_被动触发初始因果规则_线程侧	自我线程模块.impl.cpp	6455	基础信息节点类* 父节点 = nullptr; | 二次特征节点类* 条件比较 = nullptr; | 二次特征节点类* 果比较 = nullptr; | std::string 规则名{}; | std::string 被动因描述{}; | std::string 承接条件描述{}; | std::string 自动果描述{}; | std::string 幂等键{}; | ...(+2)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_自检报告休眠处置映射	自我线程模块.impl.cpp	9105	bool 仅休眠期评估 = false; | bool 需要映射确认 = true; | const char* 处置类型 = "待映射确认"; | const char* 休眠期候选动作 = "未授权"; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_自检候选父需求裁决_线程侧	自我线程模块.impl.cpp	9231	枚举_自检候选父需求域_线程侧 域 = 枚举_自检候选父需求域_线程侧::未判定; | 需求节点* 父需求 = nullptr; | bool 可入普通需求树 = false; | bool 需要弹错 = false; | std::string 来源因果主键{}; | std::string 原因{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_自检候选局部来源线索_线程侧	自我线程模块.impl.cpp	9258	方法节点* 目标方法 = nullptr; | 需求节点* 局部来源需求 = nullptr; | 任务节点* 局部来源子任务 = nullptr; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法维护同被维护方法检查_线程侧	自我线程模块.impl.cpp	9464	需求节点* 首个需求 = nullptr; | std::size_t 命中数量 = 0; | std::string 命中样本{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_消息归并与对账结果	自我线程模块.impl.cpp	14642	bool 命中执行尝试闭环 = false; | bool 允许继续落账 = true; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_动态V1摘要	自我线程模块.impl.cpp	14989	bool 有变化量 = false; | I64 变化量 = 0; | bool 有变化方向 = false; | I64 变化方向 = 0; | std::string 变化方向语义{}; | bool 有持续时间 = false; | I64 持续时间 = 0; | bool 有变化率 = false; | ...(+2)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_治理二次特征候选	自我线程模块.impl.cpp	15054	std::string 概念名称{}; | std::string 原因摘要{}; | 枚举_二次特征种类 种类 = 枚举_二次特征种类::未定义; | 枚举_二次特征域 域 = 枚举_二次特征域::未定义; | 枚举_二次特征粒度 粒度 = 枚举_二次特征粒度::当前场景; | 枚举_二次特征基准类型 基准类型 = 枚举_二次特征基准类型::无; | 枚举_时间归一方式 时间归一方式 = 枚举_时间归一方式::无; | 枚举_二次特征值形态 值形态 = 枚举_二次特征值形态::布尔; | ...(+8)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_治理对象组	自我线程模块.impl.cpp	15073	基础信息节点类* 任务管理任务节点 = nullptr; | 基础信息节点类* 当前任务节点 = nullptr; | 基础信息节点类* 父任务节点 = nullptr; | 基础信息节点类* 方法节点 = nullptr; | return 当前任务节点 ? 当前任务节点 : 任务管理任务节点; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_治理影响项	自我线程模块.impl.cpp	15240	基础信息节点类* 主体 = nullptr; | std::string 来源二次特征名称{}; | 枚举_治理影响维度 影响维度 = 枚举_治理影响维度::直接服务; | 枚举_治理影响方向 影响方向 = 枚举_治理影响方向::中性; | I64 影响强度 = 0; | bool 即时生效 = true; | bool 可逆 = true; | I64 置信度 = 0; | ...(+3)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_抢占执行前许可审批守卫	自我线程模块.impl.cpp	16592	bool& 标记; | 标记 = false; | } 抢占守卫{正在抢占执行前许可审批};	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_抢占任务管理成功结果守卫	自我线程模块.impl.cpp	16685	bool& 标记; | 标记 = false; | } 抢占守卫{正在抢占任务管理成功结果落账};	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_抢占任务管理派生需求守卫	自我线程模块.impl.cpp	16783	bool& 标记; | 标记 = false; | } 抢占守卫{正在抢占任务管理派生需求落账};	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_抢占观察事实承接落账守卫	自我线程模块.impl.cpp	16881	bool& 标记; | 标记 = false; | } 抢占守卫{正在抢占观察事实承接落账};	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_需求列表项	自我线程模块.ixx	100	const 语素入口节点类* 目标特征类型 = nullptr; | std::string 目标特征名称{}; | std::uintptr_t 需求节点指针 = 0; | std::string 需求节点主键{}; | I64 节点安全权重 = 0; | I64 节点服务权重 = 0; | I64 目标特征安全权重汇总 = 0; | I64 目标特征服务权重汇总 = 0; | ...(+1)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
