函数名	定义位置	原始签名	参数类型	返回类型	函数体领域依赖	分类A或B	迁移候选	保留原因	模块import风险	下一步处理
自我识别外设观察材料	自我动作实现.外部模块.ixx:809	inline 存在节点类* 自我识别外设观察材料( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,外设观察,存在,场景,方法,外设,自我,观察	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点,外设观察	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我识别外设观察材料	自我动作实现模块.ixx:11450	inline 存在节点类* 自我识别外设观察材料( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,外设观察,存在,场景,方法,外设,自我,观察	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点,外设观察	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我诊断观察质量缺口并派生补观察需求	自我动作实现.外设模块.ixx:25163	inline 存在节点类* 自我诊断观察质量缺口并派生补观察需求( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,基础信息,存在节点,场景节点,结构_,枚举_,存在,场景,特征,需求,方法,动态,外设,双目,相机	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息,存在节点,场景节点,结构_,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我诊断观察质量缺口并派生补观察需求	自我动作实现.外部模块.ixx:719	inline 存在节点类* 自我诊断观察质量缺口并派生补观察需求( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,存在,场景,需求,方法,外设,自我,观察	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我诊断观察质量缺口并派生补观察需求	自我动作实现模块.ixx:11342	inline 存在节点类* 自我诊断观察质量缺口并派生补观察需求( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,存在,场景,需求,方法,自我,观察	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我读取自我关键特征变化	自我动作实现.外设模块.ixx:20283	inline 存在节点类* 自我读取自我关键特征变化( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,基础信息,语素入口,存在节点,场景节点,动作动态,结构_,枚举_,语素,存在,场景,特征,方法,动态,双目	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息,语素入口,存在节点,场景节点,动作动态,结构_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我读取自我关键特征变化	自我动作实现.外部模块.ixx:746	inline 存在节点类* 自我读取自我关键特征变化( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,存在,场景,特征,方法,外设,自我	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我读取自我关键特征变化	自我动作实现模块.ixx:11369	inline 存在节点类* 自我读取自我关键特征变化( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,存在,场景,特征,方法,自我	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我调整外设观察姿态	自我动作实现.外设模块.ixx:25460	inline 存在节点类* 自我调整外设观察姿态( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,枚举_,外设观察,存在,场景,方法,外设,相机,本能,自我,观察	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点,枚举_,外设观察	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我调整外设观察姿态	自我动作实现.外部模块.ixx:944	inline 存在节点类* 自我调整外设观察姿态( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,外设观察,存在,场景,方法,外设,自我,观察	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点,外设观察	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我调整外设观察姿态	自我动作实现模块.ixx:11621	inline 存在节点类* 自我调整外设观察姿态( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,外设观察,存在,场景,方法,外设,自我,观察	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点,外设观察	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我调整相机参数并重采样	自我动作实现.外设模块.ixx:25400	inline 存在节点类* 自我调整相机参数并重采样( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,枚举_,存在,场景,方法,相机,本能,自我,观察,安全	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点,枚举_	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我调整相机参数并重采样	自我动作实现.外部模块.ixx:908	inline 存在节点类* 自我调整相机参数并重采样( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,存在,场景,方法,外设,相机,自我	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我调整相机参数并重采样	自我动作实现模块.ixx:11585	inline 存在节点类* 自我调整相机参数并重采样( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,存在,场景,方法,相机,自我	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我调整观察位置	自我动作实现.外设模块.ixx:25475	inline 存在节点类* 自我调整观察位置( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,枚举_,存在,场景,方法,本能,自我,观察	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点,枚举_	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我调整观察位置	自我动作实现.外部模块.ixx:953	inline 存在节点类* 自我调整观察位置( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,存在,场景,方法,外设,自我,观察	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我调整观察位置	自我动作实现模块.ixx:11630	inline 存在节点类* 自我调整观察位置( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,存在,场景,方法,自我,观察	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我跟踪指定存在	自我动作实现.外设模块.ixx:21808	inline 存在节点类* 自我跟踪指定存在( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,基础信息,存在节点,场景节点,枚举_,外设观察,跟踪报告,存在,场景,特征,需求,方法,动态,外设,D455	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息,存在节点,场景节点,枚举_,外设观察,跟踪报告；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我跟踪指定存在	自我动作实现.外部模块.ixx:818	inline 存在节点类* 自我跟踪指定存在( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,存在,场景,方法,外设,自我,跟踪	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我跟踪指定存在	自我动作实现模块.ixx:11468	inline 存在节点类* 自我跟踪指定存在( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,存在,场景,方法,自我,跟踪	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我边界坐标分量转I64	自我动作实现.外设模块.ixx:6056	inline bool 自我边界坐标分量转I64(double 值, I64& 输出) noexcept	double 值, I64& 输出	bool	自我	B	候选	未命中自定义主信息/节点/结构/协议对象；仅作为迁移候选，需人工复核同功能与 import 环	中-有领域命名/日志语境，迁移前复核命名和所属模块	P13b 迁移前查全局共享函数类和函数说明文档；确认无同功能且无 import 环
自我边界坐标转I64三元	自我动作实现.外设模块.ixx:6077	inline bool 自我边界坐标转I64三元(const Vector3D& 坐标, I64& x, I64& y, I64& z) noexcept	const Vector3D& 坐标, I64& x, I64& y, I64& z	bool	自我,字段访问	A	否	函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我递归细分存在内部世界	自我动作实现.外设模块.ixx:26027	inline 存在节点类* 自我递归细分存在内部世界( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,枚举_,存在,场景,特征,方法,本能,自我	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点,枚举_	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我递归细分存在内部世界	自我动作实现.外部模块.ixx:1124	inline 存在节点类* 自我递归细分存在内部世界( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,存在,场景,方法,外设,自我	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我递归细分存在内部世界	自我动作实现模块.ixx:11756	inline 存在节点类* 自我递归细分存在内部世界( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,存在,场景,方法,自我	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我验证外设观察像素簇候选	自我动作实现.外设模块.ixx:22261	inline 存在节点类* 自我验证外设观察像素簇候选( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,基础信息,存在节点,场景节点,结构_,枚举_,外设观察,观察像素簇,空间候选,逐簇识别,存在,场景,特征,需求,方法	A	否	命中自定义结构/节点/协议依赖：节点类,节点,基础信息,存在节点,场景节点,结构_,枚举_,外设观察；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我验证外设观察像素簇候选	自我动作实现.外部模块.ixx:800	inline 存在节点类* 自我验证外设观察像素簇候选( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,外设观察,观察像素簇,存在,场景,方法,外设,自我,观察	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点,外设观察,观察像素簇	高	不迁入全局共享；按所属领域保留/去重/删除审计
自我验证外设观察像素簇候选	自我动作实现模块.ixx:11441	inline 存在节点类* 自我验证外设观察像素簇候选( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept	 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景	存在节点类*	节点类,节点,存在节点,场景节点,外设观察,观察像素簇,存在,场景,方法,外设,自我,观察	A	否	命中自定义结构/节点/协议依赖：节点类,节点,存在节点,场景节点,外设观察,观察像素簇	高	不迁入全局共享；按所属领域保留/去重/删除审计
自检线程模式文本	自检线程模块.impl.cpp:1404	const char* 自检线程模式文本(枚举_自检线程模式 模式) noexcept	枚举_自检线程模式 模式	const char*	枚举_,线程,观察	A	否	命中自定义结构/节点/协议依赖：枚举_	高	不迁入全局共享；按所属领域保留/去重/删除审计
自检线程生命周期文本	自检线程模块.impl.cpp:1390	const char* 自检线程生命周期文本(枚举_自检线程生命周期状态 状态) noexcept	枚举_自检线程生命周期状态 状态	const char*	枚举_,线程	A	否	命中自定义结构/节点/协议依赖：枚举_	高	不迁入全局共享；按所属领域保留/去重/删除审计
自检线程类::~自检线程类	自检线程模块.impl.cpp:1420	自检线程类::~自检线程类()			线程	A	否	成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
自检线程类::主循环_	自检线程模块.impl.cpp:1581	void 自检线程类::主循环_()		void	基础信息,枚举_,线程,观察,日志,字段访问	A	否	命中自定义结构/节点/协议依赖：基础信息,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
自检线程类::启动	自检线程模块.impl.cpp:1427	bool 自检线程类::启动(bool 只读观察模式)	bool 只读观察模式	bool	基础信息,枚举_,线程,观察,日志,字段访问	A	否	命中自定义结构/节点/协议依赖：基础信息,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
自检线程类::执行休眠期自检_	自检线程模块.impl.cpp:1977	void 自检线程类::执行休眠期自检_(时间戳 now)	时间戳 now	void	节点,结构_,枚举_,存在,特征,需求,任务,方法,自我,线程,报告,扫描,日志,字段访问	A	否	命中自定义结构/节点/协议依赖：节点,结构_,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
自检线程类::执行运行中自检_	自检线程模块.impl.cpp:1708	void 自检线程类::执行运行中自检_(时间戳 now)	时间戳 now	void	主信息,节点,结构_,枚举_,特征,需求,任务,方法,本能,自我,线程,报告,扫描,日志,字段访问	A	否	命中自定义结构/节点/协议依赖：主信息,节点,结构_,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
自检线程类::是否健康运行	自检线程模块.impl.cpp:1526	bool 自检线程类::是否健康运行() const noexcept		bool	线程	A	否	成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
自检线程类::等待停止	自检线程模块.impl.cpp:1507	void 自检线程类::等待停止()		void	线程,字段访问	A	否	函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
自检线程类::记录事件_已加锁	自检线程模块.impl.cpp:1570	void 自检线程类::记录事件_已加锁(时间戳 now, const std::string& 摘要)	时间戳 now, const std::string& 摘要	void	线程,字段访问	A	否	函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
自检线程类::请求休眠期自检	自检线程模块.impl.cpp:1515	void 自检线程类::请求休眠期自检()		void	线程,字段访问	A	否	函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
自检线程类::请求停止	自检线程模块.impl.cpp:1491	void 自检线程类::请求停止()		void	枚举_,线程,字段访问	A	否	命中自定义结构/节点/协议依赖：枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
自检线程类::读取摘要	自检线程模块.impl.cpp:1540	结构_自检线程摘要 自检线程类::读取摘要() const		结构_自检线程摘要	结构_,特征,需求,线程,报告,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_；函数体存在字段/指针成员访问，需保守视为对象依赖；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
自检线程类::读取生命周期状态	自检线程模块.impl.cpp:1533	枚举_自检线程生命周期状态 自检线程类::读取生命周期状态() const noexcept		枚举_自检线程生命周期状态	枚举_,线程	A	否	命中自定义结构/节点/协议依赖：枚举_；成员函数/构造析构/operator 不迁入全局共享	高	不迁入全局共享；按所属领域保留/去重/删除审计
节点属于独立树_已加锁	需求类.h:721	static bool 节点属于独立树_已加锁( const 节点类* 需求根节点, const 节点类* 候选节点) noexcept	 const 节点类* 需求根节点, const 节点类* 候选节点	bool	节点类,节点,需求,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点；函数体存在字段/指针成员访问，需保守视为对象依赖；类/结构体内部定义不作为全局迁移候选	高	不迁入全局共享；按所属领域保留/去重/删除审计
节点种类	方法主信息类.h:272	枚举_方法节点种类 节点种类() const noexcept		枚举_方法节点种类	节点,方法节点,枚举_,方法,字段访问	A	否	命中自定义结构/节点/协议依赖：节点,方法节点,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖；类/结构体内部定义不作为全局迁移候选	高	不迁入全局共享；按所属领域保留/去重/删除审计
范围轴重叠率	自我动作实现.外设模块.ixx:14499	inline I64 范围轴重叠率(I64 aMin, I64 aMax, I64 bMin, I64 bMax) noexcept	I64 aMin, I64 aMax, I64 bMin, I64 bMax	I64	无明显领域依赖	B	候选	未命中自定义主信息/节点/结构/协议对象；仅作为迁移候选，需人工复核同功能与 import 环	低-待复核	P13b 迁移前查全局共享函数类和函数说明文档；确认无同功能且无 import 环
范数	基础数据类型.h:886	double 范数() const noexcept		double	无明显领域依赖	A	否	类/结构体内部定义不作为全局迁移候选	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取	基础数据类型.h:143	T节点* 获取() const noexcept		T节点*	节点,字段访问	A	否	命中自定义结构/节点/协议依赖：节点；函数体存在字段/指针成员访问，需保守视为对象依赖；类/结构体内部定义不作为全局迁移候选	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取主键	双向链表模板核心.h:54	std::string 获取主键() const		std::string	无明显领域依赖	A	否	类/结构体内部定义不作为全局迁移候选	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取主键	双向链表模板核心.h:244	std::string 获取主键(节点类* 节点) const	节点类* 节点	std::string	节点类,节点,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点；函数体存在字段/指针成员访问，需保守视为对象依赖；类/结构体内部定义不作为全局迁移候选	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取全局外设线程_D455深度相机	外设线程_D455深度相机.ixx:3405	外设线程_D455深度相机类& 获取全局外设线程_D455深度相机() noexcept		外设线程_D455深度相机类&	外设,D455,相机,线程	B	候选	未命中自定义主信息/节点/结构/协议对象；仅作为迁移候选，需人工复核同功能与 import 环	中-有领域命名/日志语境，迁移前复核命名和所属模块	P13b 迁移前查全局共享函数类和函数说明文档；确认无同功能且无 import 环
获取全局控制面板摘要线程	控制面板摘要线程模块.impl.cpp:692	控制面板摘要线程类& 获取全局控制面板摘要线程() noexcept		控制面板摘要线程类&	控制面板,线程	B	候选	未命中自定义主信息/节点/结构/协议对象；仅作为迁移候选，需人工复核同功能与 import 环	中-有领域命名/日志语境，迁移前复核命名和所属模块	P13b 迁移前查全局共享函数类和函数说明文档；确认无同功能且无 import 环
获取全局自我线程	自我线程模块.impl.cpp:16641	自我线程类& 获取全局自我线程() noexcept		自我线程类&	自我,线程	B	候选	未命中自定义主信息/节点/结构/协议对象；仅作为迁移候选，需人工复核同功能与 import 环	中-有领域命名/日志语境，迁移前复核命名和所属模块	P13b 迁移前查全局共享函数类和函数说明文档；确认无同功能且无 import 环
获取全局自检线程	自检线程模块.impl.cpp:2115	自检线程类& 获取全局自检线程() noexcept		自检线程类&	线程	B	候选	未命中自定义主信息/节点/结构/协议对象；仅作为迁移候选，需人工复核同功能与 import 环	中-有领域命名/日志语境，迁移前复核命名和所属模块	P13b 迁移前查全局共享函数类和函数说明文档；确认无同功能且无 import 环
获取基础信息集	基础信息类.cpp:408	基础信息类& 获取基础信息集()		基础信息类&	基础信息	A	否	命中自定义结构/节点/协议依赖：基础信息	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取度量默认刻度_由链键	度量模板注册表桥接.cpp:64	std::vector<结构_度量刻度片_桥接> 获取度量默认刻度_由链键( const std::string& 链键, const std::string& 特征类型主键)	 const std::string& 链键, const std::string& 特征类型主键	std::vector<结构_度量刻度片_桥接>	结构_,特征,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取或创建_已加锁	特征值类.h:133	节点类* 获取或创建_已加锁(特征值主信息类&& mi, 枚举_轮廓维度 dim)	特征值主信息类&& mi, 枚举_轮廓维度 dim	节点类*	主信息,节点类,节点,枚举_,特征,特征值,字段访问	A	否	命中自定义结构/节点/协议依赖：主信息,节点类,节点,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖；类/结构体内部定义不作为全局迁移候选	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取或创建_已加锁	特征值类.h:156	节点类* 获取或创建_已加锁(VecIU64&& v, 枚举_轮廓维度 dim)	VecIU64&& v, 枚举_轮廓维度 dim	节点类*	主信息,节点类,节点,枚举_,特征,特征值,字段访问	A	否	命中自定义结构/节点/协议依赖：主信息,节点类,节点,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖；类/结构体内部定义不作为全局迁移候选	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取或抛	度量模板注册表类.ixx:127	[[nodiscard]] const 模板基类& 获取或抛(枚举_模板族 模板族) const	枚举_模板族 模板族	[[nodiscard]] const 模板基类&	枚举_,日志	A	否	命中自定义结构/节点/协议依赖：枚举_；类/结构体内部定义不作为全局迁移候选	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取控制面板WebView2启动诊断码	控制面板WebView2.cpp:2197	int 获取控制面板WebView2启动诊断码() noexcept		int	WebView2,控制面板,字段访问	A	否	命中自定义结构/节点/协议依赖：WebView2；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取控制面板启动诊断码	控制面板类.cpp:14979	int 获取控制面板启动诊断码() noexcept		int	WebView2,控制面板	A	否	命中自定义结构/节点/协议依赖：WebView2	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取新主键	双向链表模板核心.h:173	std::string 获取新主键(const std::string& 前一主键) const	const std::string& 前一主键	std::string	字段访问	A	否	函数体存在字段/指针成员访问，需保守视为对象依赖；类/结构体内部定义不作为全局迁移候选	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取最近轮廓观测	D455相机类.cpp:232	const std::vector<结构体_轮廓观测>& 获取最近轮廓观测() const		const std::vector<结构体_轮廓观测>&	无明显领域依赖	A	否	类/结构体内部定义不作为全局迁移候选	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取独立树根_已加锁	需求类.h:693	private: static 节点类* 获取独立树根_已加锁(节点类* 节点) noexcept	节点类* 节点	private: 节点类*	节点类,节点,字段访问	A	否	命中自定义结构/节点/协议依赖：节点类,节点；函数体存在字段/指针成员访问，需保守视为对象依赖；类/结构体内部定义不作为全局迁移候选	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取线程状态变化消息段	自我线程模块.消息协议.ixx:734	inline const 结构_线程状态变化消息段* 获取线程状态变化消息段( const 结构_治理消息& 消息) noexcept	 const 结构_治理消息& 消息	const 结构_线程状态变化消息段*	结构_,线程,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取读锁	双向链表模板核心.h:169	读锁守卫 获取读锁() const		读锁守卫	无明显领域依赖	A	否	类/结构体内部定义不作为全局迁移候选	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取配置	D455相机类.cpp:192	const 配置项& 获取配置() const		const 配置项&	无明显领域依赖	A	否	类/结构体内部定义不作为全局迁移候选	高	不迁入全局共享；按所属领域保留/去重/删除审计
获取锁	双向链表模板核心.h:166	锁守卫 获取锁() const		锁守卫	无明显领域依赖	A	否	类/结构体内部定义不作为全局迁移候选	高	不迁入全局共享；按所属领域保留/去重/删除审计
