"函数名"	"条目数"	"定义数"	"声明数"	"位置"
"特征_匹配方法能力包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1956[定义];自我动作实现模块.ixx:1449[定义]"
"特征_匹配路径记录"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1970[定义];自我动作实现模块.ixx:1463[定义]"
"特征_区间上界"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1746[定义];自我动作实现模块.ixx:1239[定义]"
"特征_区间下界"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1739[定义];自我动作实现模块.ixx:1232[定义]"
"特征_占用状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2187[定义];自我动作实现模块.ixx:1680[定义]"
"特征_原始需求绑定包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1963[定义];自我动作实现模块.ixx:1456[定义]"
"特征_参数值类型"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1127[定义];自我动作实现模块.ixx:613[定义]"
"特征_参数新颖性状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5708[定义];自我动作实现模块.ixx:1960[定义]"
"特征_参数来源"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1120[定义];自我动作实现模块.ixx:606[定义]"
"特征_参数生成序号"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5694[定义];自我动作实现模块.ixx:1946[定义]"
"特征_参数配对情况"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1865[定义];自我动作实现模块.ixx:1358[定义]"
"特征_参数配对结果"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1851[定义];自我动作实现模块.ixx:1344[定义]"
"特征_可执行输入参数场景"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1872[定义];自我动作实现模块.ixx:1365[定义]"
"特征_可用方法数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1676[定义];自我动作实现模块.ixx:1169[定义]"
"特征_可选条件特征类型数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:686[定义];自我动作实现模块.ixx:89[定义]"
"特征_启停状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2180[定义];自我动作实现模块.ixx:1673[定义]"
"特征_固定参数表"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:728[定义];自我动作实现模块.ixx:131[定义]"
"特征_场景引用"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1767[定义];自我动作实现模块.ixx:1260[定义]"
"特征_外设可用性"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2166[定义];自我动作实现模块.ixx:1659[定义]"
"特征_外设观察报告ID"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:4504[定义];自我动作实现.扫描.ixx:467[定义]"
"特征_失败原因"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2019[定义];自我动作实现模块.ixx:1512[定义]"
"特征_存在引用"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1760[定义];自我动作实现模块.ixx:1253[定义]"
"特征_安全值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1650[定义];自我动作实现模块.ixx:1143[定义]"
"特征_安全结算增量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:812[定义];自我动作实现模块.ixx:292[定义]"
"特征_实例缺失策略"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5540[定义];自我动作实现模块.ixx:1792[定义]"
"特征_实参生成策略"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5701[定义];自我动作实现模块.ixx:1953[定义]"
"特征_实际执行差值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5568[定义];自我动作实现模块.ixx:1820[定义]"
"特征_实际结果状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:833[定义];自我动作实现模块.ixx:313[定义]"
"特征_差值命中状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5575[定义];自我动作实现模块.ixx:1827[定义]"
"特征_差值约束包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5505[定义];自我动作实现模块.ixx:1757[定义]"
"特征_已绑定实参表"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1113[定义];自我动作实现模块.ixx:599[定义]"
"特征_已识别区域扫描入账状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:4679[定义];自我动作实现.扫描.ixx:737[定义]"
"特征_平均运行时长"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1232[定义];自我动作实现模块.ixx:725[定义]"
"特征_建议任务状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:945[定义];自我动作实现模块.ixx:431[定义]"
"特征_建议任务阶段"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:952[定义];自我动作实现模块.ixx:438[定义]"
"特征_当前交互者明确状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5897[定义];自我动作实现模块.ixx:2170[定义]"
"特征_当前人类服务对象明确状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5904[定义];自我动作实现模块.ixx:2177[定义]"
"特征_当前值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1099[定义];自我动作实现模块.ixx:585[定义]"
"特征_当前命中抽象特征"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5589[定义];自我动作实现模块.ixx:1841[定义]"
"特征_当前方法执行情况"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1043[定义];自我动作实现模块.ixx:529[定义]"
"特征_当前服务目标明确状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5918[定义];自我动作实现模块.ixx:2191[定义]"
"特征_当前权限者明确状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5911[定义];自我动作实现模块.ixx:2184[定义]"
"特征_当前观察场景"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2194[定义];自我动作实现模块.ixx:1687[定义]"
"特征_彩色帧号"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2390[定义];自我动作实现模块.ixx:1729[定义]"
"特征_待处理方法数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1669[定义];自我动作实现模块.ixx:1162[定义]"
"特征_待配对形参表"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1998[定义];自我动作实现模块.ixx:1491[定义]"
"特征_必需条件特征类型数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:679[定义];自我动作实现模块.ixx:82[定义]"
"特征_总匹配距离"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1991[定义];自我动作实现模块.ixx:1484[定义]"
"特征_成功匹配数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2012[定义];自我动作实现模块.ixx:1505[定义]"
"特征_执行前值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1615[定义];自我动作实现模块.ixx:1108[定义]"
"特征_执行前值快照"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5526[定义];自我动作实现模块.ixx:1778[定义]"
"特征_执行后值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1622[定义];自我动作实现模块.ixx:1115[定义]"
"特征_执行回执表"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:931[定义];自我动作实现模块.ixx:417[定义]"
"特征_执行结果类型"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:987[定义];自我动作实现模块.ixx:473[定义]"
"特征_执行缺口类型"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1001[定义];自我动作实现模块.ixx:487[定义]"
"特征_抽象特征引用"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1753[定义];自我动作实现模块.ixx:1246[定义]"
"特征_改变方向"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1106[定义];自我动作实现模块.ixx:592[定义]"
"特征_改变量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1656[定义];自我动作实现模块.ixx:1149[定义]"
"特征_效果表"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:742[定义];自我动作实现模块.ixx:145[定义]"
"特征_新安全值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:882[定义];自我动作实现模块.ixx:362[定义]"
"特征_新服务值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:896[定义];自我动作实现模块.ixx:376[定义]"
"特征_方法动作状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5819[定义];自我动作实现模块.ixx:2071[定义]"
"特征_方法可执行入口数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5826[定义];自我动作实现模块.ixx:2085[定义]"
"特征_方法成功次数"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1211[定义];自我动作实现模块.ixx:704[定义]"
"特征_方法执行情况"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1330[定义];自我动作实现模块.ixx:823[定义]"
"特征_方法搜索根"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1704[定义];自我动作实现模块.ixx:1197[定义]"
"特征_方法最近连续成功次数"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1218[定义];自我动作实现模块.ixx:711[定义]"
"特征_方法条件结果配对状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5833[定义];自我动作实现模块.ixx:2099[定义]"
"特征_方法条件节点"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1636[定义];自我动作实现模块.ixx:1129[定义]"
"特征_方法稳定状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5847[定义];自我动作实现模块.ixx:2120[定义]"
"特征_方法结果节点"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1643[定义];自我动作实现模块.ixx:1136[定义]"
"特征_方法能力包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1711[定义];自我动作实现模块.ixx:1204[定义]"
"特征_方法虚拟存在"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1594[定义];自我动作实现模块.ixx:1087[定义]"
"特征_方法补齐尝试结果"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5631[定义];自我动作实现模块.ixx:1883[定义]"
"特征_方法补齐状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5638[定义];自我动作实现模块.ixx:1890[定义]"
"特征_方法补齐类别"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5715[定义];自我动作实现模块.ixx:1967[定义]"
"特征_方法补齐结构状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5805[定义];自我动作实现模块.ixx:2057[定义]"
"特征_方法运行次数"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1204[定义];自我动作实现模块.ixx:697[定义]"
"特征_方法运行结果"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1022[定义];自我动作实现模块.ixx:508[定义]"
"特征_方法运行结果状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1029[定义];自我动作实现模块.ixx:515[定义]"
"特征_方法运行账完整性"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5840[定义];自我动作实现模块.ixx:2113[定义]"
"特征_方法配对结果"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1844[定义];自我动作实现模块.ixx:1337[定义]"
"特征_旧安全值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:875[定义];自我动作实现模块.ixx:355[定义]"
"特征_旧服务值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:889[定义];自我动作实现模块.ixx:369[定义]"
"特征_是否允许当前方法自身"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1837[定义];自我动作实现模块.ixx:1330[定义]"
"特征_是否包含禁用方法"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1830[定义];自我动作实现模块.ixx:1323[定义]"
"特征_是否发生溢出"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5582[定义];自我动作实现模块.ixx:1834[定义]"
"特征_最大候选数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1816[定义];自我动作实现模块.ixx:1309[定义]"
"特征_最大值域抽象层数"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1809[定义];自我动作实现模块.ixx:1302[定义]"
"特征_最大查找递归深度"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1823[定义];自我动作实现模块.ixx:1316[定义]"
"特征_最大类型抽象层数"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1802[定义];自我动作实现模块.ixx:1295[定义]"
"特征_最近完成时间"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1253[定义];自我动作实现模块.ixx:746[定义]"
"特征_最近执行时间"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1246[定义];自我动作实现模块.ixx:739[定义]"
"特征_最近样本时间"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1169[定义];自我动作实现模块.ixx:655[定义]"
"特征_最近结算时间"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:805[定义];自我动作实现模块.ixx:285[定义]"
"特征_最近运行虚拟存在"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1239[定义];自我动作实现模块.ixx:732[定义]"
"特征_最高允许宿主类型"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1781[定义];自我动作实现模块.ixx:1274[定义]"
"特征_最高允许目标特征类型"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1774[定义];自我动作实现模块.ixx:1267[定义]"
"特征_服务值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1663[定义];自我动作实现模块.ixx:1156[定义]"
"特征_服务前状态场景"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7107[定义];自我动作实现模块.ixx:2261[定义]"
"特征_服务对象反馈信息获取尝试状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5932[定义];自我动作实现模块.ixx:2205[定义]"
"特征_服务对象外在特征状态变化数"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:840[定义];自我动作实现模块.ixx:320[定义]"
"特征_服务对象外在特征状态改善证据"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:847[定义];自我动作实现模块.ixx:327[定义]"
"特征_服务结果可归因于自我动作"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:861[定义];自我动作实现模块.ixx:341[定义]"
"特征_服务结果可验证"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:854[定义];自我动作实现模块.ixx:334[定义]"
"特征_服务结算增量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:819[定义];自我动作实现模块.ixx:299[定义]"
"特征_服务结算证据通过"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:868[定义];自我动作实现模块.ixx:348[定义]"
"特征_本轮推进量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:973[定义];自我动作实现模块.ixx:459[定义]"
"特征_本轮是否有推进"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:966[定义];自我动作实现模块.ixx:452[定义]"
"特征_权限边界明确状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5967[定义];自我动作实现模块.ixx:2240[定义]"
"特征_条件描述时间"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:665[定义];自我动作实现模块.ixx:68[定义]"
"特征_条件描述状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:658[定义];自我动作实现模块.ixx:61[定义]"
"特征_条件特征"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:700[定义];自我动作实现模块.ixx:103[定义]"
"特征_条件特征类型数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:672[定义];自我动作实现模块.ixx:75[定义]"
"特征_条件结果对"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5652[定义];自我动作实现模块.ixx:1904[定义]"
"特征_来源因果信息"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5735[定义];自我动作实现模块.ixx:1987[定义]"
"特征_来源缺口"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5624[定义];自我动作实现模块.ixx:1876[定义]"
"特征_来源观察动态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5742[定义];自我动作实现模块.ixx:1994[定义]"
"特征_来源需求条件包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1907[定义];自我动作实现模块.ixx:1400[定义]"
"特征_查找限制包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1690[定义];自我动作实现模块.ixx:1183[定义]"
"特征_样本次数"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1162[定义];自我动作实现模块.ixx:648[定义]"
"特征_沟通交流需求明确状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5925[定义];自我动作实现模块.ixx:2198[定义]"
"特征_派生需求"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5596[定义];自我动作实现模块.ixx:1848[定义]"
"特征_派生需求当前状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5603[定义];自我动作实现模块.ixx:1855[定义]"
"特征_派生需求提示"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1015[定义];自我动作实现模块.ixx:501[定义]"
"特征_派生需求目标状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5610[定义];自我动作实现模块.ixx:1862[定义]"
"特征_深度帧号"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2383[定义];自我动作实现模块.ixx:1722[定义]"
"特征_溢出策略"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5547[定义];自我动作实现模块.ixx:1799[定义]"
"特征_满足证据"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5890[定义];自我动作实现模块.ixx:2163[定义]"
"特征_特征值"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1725[定义];自我动作实现模块.ixx:1218[定义]"
"特征_特征值范围"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1732[定义];自我动作实现模块.ixx:1225[定义]"
"特征_特征类型"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1718[定义];自我动作实现模块.ixx:1211[定义]"
"特征_特征类型配对结果"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5533[定义];自我动作实现模块.ixx:1785[定义]"
"特征_现实场景包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1064[定义];自我动作实现模块.ixx:550[定义]"
"特征_目标值类型"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5498[定义];自我动作实现模块.ixx:1750[定义]"
"特征_目标外设"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2159[定义];自我动作实现模块.ixx:1652[定义]"
"特征_目标实例特征"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5561[定义];自我动作实现模块.ixx:1813[定义]"
"特征_目标是否达成"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:959[定义];自我动作实现模块.ixx:445[定义]"
"特征_目标特征"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1092[定义];自我动作实现模块.ixx:578[定义]"
"特征_目标现实场景"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1078[定义];自我动作实现模块.ixx:564[定义]"
"特征_相机帧宽度"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2369[定义];自我动作实现模块.ixx:1708[定义]"
"特征_相机帧高度"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2376[定义];自我动作实现模块.ixx:1715[定义]"
"特征_等待原因"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1008[定义];自我动作实现模块.ixx:494[定义]"
"特征_筹办缺口类型"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:994[定义];自我动作实现模块.ixx:480[定义]"
"特征_类型抽象距离"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1977[定义];自我动作实现模块.ixx:1470[定义]"
"特征_累计安全结算"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:791[定义];自我动作实现模块.ixx:271[定义]"
"特征_累计服务结算"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:798[定义];自我动作实现模块.ixx:278[定义]"
"特征_累计运行时长"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1225[定义];自我动作实现模块.ixx:718[定义]"
"特征_练习方向"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5673[定义];自我动作实现模块.ixx:1925[定义]"
"特征_练习模式"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5666[定义];自我动作实现模块.ixx:1918[定义]"
"特征_绑定参数数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1879[定义];自我动作实现模块.ixx:1372[定义]"
"特征_结束时间"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1608[定义];自我动作实现模块.ixx:1101[定义]"
"特征_结果不符合次数"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1183[定义];自我动作实现模块.ixx:669[定义]"
"特征_结果符合次数"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1176[定义];自我动作实现模块.ixx:662[定义]"
"特征_缓存方法虚拟存在"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1942[定义];自我动作实现模块.ixx:1435[定义]"
"特征_缓存方法首节点"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1935[定义];自我动作实现模块.ixx:1428[定义]"
"特征_缺失参数数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1886[定义];自我动作实现模块.ixx:1379[定义]"
"特征_自我运行状态明确状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5939[定义];自我动作实现模块.ixx:2212[定义]"
"特征_自我运行状态正常状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5946[定义];自我动作实现模块.ixx:2219[定义]"
"特征_被需求当前状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:777[定义];自我动作实现模块.ixx:257[定义]"
"特征_试运行次数"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5645[定义];自我动作实现模块.ixx:1897[定义]"
"特征_试运行限制包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5659[定义];自我动作实现模块.ixx:1911[定义]"
"特征_读取特征类型"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1134[定义];自我动作实现模块.ixx:620[定义]"
"特征_资源压力降低状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7121[定义];自我动作实现模块.ixx:2275[定义]"
"特征_资源状态明确状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5953[定义];自我动作实现模块.ixx:2226[定义]"
"特征_资源状态足够状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5960[定义];自我动作实现模块.ixx:2233[定义]"
"特征_轮廓数量"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2397[定义];自我动作实现模块.ixx:1736[定义]"
"特征_运行时长"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1148[定义];自我动作实现模块.ixx:634[定义]"
"特征_运行次数"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1155[定义];自我动作实现模块.ixx:641[定义]"
"特征_运行状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:2173[定义];自我动作实现模块.ixx:1666[定义]"
"特征_返回参数信息"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1580[定义];自我动作实现模块.ixx:1073[定义]"
"特征_返回场景信息"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1587[定义];自我动作实现模块.ixx:1080[定义]"
"特征_选中方法虚拟存在"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1949[定义];自我动作实现模块.ixx:1442[定义]"
"特征_选中方法首节点"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1921[定义];自我动作实现模块.ixx:1414[定义]"
"特征_配对状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1900[定义];自我动作实现模块.ixx:1393[定义]"
"特征_降级保护状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7114[定义];自我动作实现模块.ixx:2268[定义]"
"特征_限制包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5554[定义];自我动作实现模块.ixx:1806[定义]"
"特征_需求有效截止"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:784[定义];自我动作实现模块.ixx:264[定义]"
"特征_需求条件包"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:1683[定义];自我动作实现模块.ixx:1176[定义]"
"特征_需求满足情况"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5883[定义];自我动作实现模块.ixx:2156[定义]"
"特征_需求状态动作动态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:910[定义];自我动作实现模块.ixx:390[定义]"
"特征_非必要任务暂停状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7135[定义];自我动作实现模块.ixx:2289[定义]"
"特征_预测状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5784[定义];自我动作实现模块.ixx:2036[定义]"
"特征_风险传播阻断状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:7128[定义];自我动作实现模块.ixx:2282[定义]"
"特征_风险状态可控状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5981[定义];自我动作实现模块.ixx:2254[定义]"
"特征_风险状态明确状态"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:5974[定义];自我动作实现模块.ixx:2247[定义]"
"特征值主信息类"	"2"	"1"	"1"	"特征值主信息类.h:19[声明];特征值主信息类.h:22[定义]"
"特征类::写入三维体素二分层链"	"2"	"2"	"0"	"特征类.cpp:3301[定义];特征类.cpp:3326[定义]"
"特征类::取抽象特征主信息"	"2"	"2"	"0"	"特征类.cpp:545[定义];特征类.cpp:551[定义]"
"特征类::取特征主信息"	"2"	"2"	"0"	"特征类.cpp:533[定义];特征类.cpp:539[定义]"
"状态类::取状态主信息"	"2"	"2"	"0"	"状态类.cpp:170[定义];状态类.cpp:176[定义]"
"生成需求方向签名"	"2"	"0"	"2"	"需求类.h:362[声明];需求类.h:365[声明]"
"确保方法结果能力方向"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:8655[定义];自我动作实现模块.ixx:3196[定义]"
"确保本能方法"	"2"	"2"	"0"	"自我动作实现.外设模块.ixx:9281[定义];自我动作实现模块.ixx:4190[定义]"
"确认自我扫描当前场景规格"	"2"	"2"	"0"	"自我动作实现.扫描.ixx:1821[定义];自我动作实现模块.ixx:8636[定义]"
"私有_HRESULT文本"	"2"	"2"	"0"	"控制面板WebView2.cpp:97[定义];数据库ADO模块.cpp:92[定义]"
"私有_SQL布尔"	"2"	"2"	"0"	"语素类.cpp:339[定义];需求类.cpp:83[定义]"
"私有_UTF8转宽字串"	"2"	"2"	"0"	"控制面板WebView2.cpp:145[定义];数据库ADO模块.cpp:25[定义]"
"私有_主信息类型文本"	"2"	"2"	"0"	"控制面板类.cpp:1242[定义];语素类.cpp:151[定义]"
"私有_二次特征种类文本"	"2"	"2"	"0"	"语言类_二次特征表达.cpp:49[定义];语言类_基础信息命名.cpp:90[定义]"
"私有_从任务引用解析任务节点"	"2"	"2"	"0"	"自我线程模块.impl.cpp:3263[定义];自我线程模块.impl.cpp:3279[定义]"
"私有_从需求引用解析需求节点"	"2"	"2"	"0"	"自我线程模块.impl.cpp:3311[定义];自我线程模块.impl.cpp:3332[定义]"
"私有_任务状态文本"	"2"	"2"	"0"	"控制面板类.cpp:644[定义];任务模块.管理界面线程.impl.cpp:667[定义]"
"私有_任务管理总控结果文本"	"2"	"2"	"0"	"控制面板类.cpp:1227[定义];鱼巢.cpp:537[定义]"
"私有_信息入口类型文本"	"2"	"2"	"0"	"控制面板类.cpp:1275[定义];语素类.cpp:172[定义]"
"私有_写入方法类型特征"	"2"	"2"	"0"	"方法类.cpp:880[定义];本能方法类.cpp:217[定义]"
"私有_写入状态节点引用"	"2"	"2"	"0"	"任务模块.管理工作线程.ixx:243[定义];自我线程模块.impl.cpp:2448[定义]"
