"函数名"	"条目数"	"定义数"	"声明数"	"功能签名数"	"功能签名摘要"	"迁移归属建议"	"原始签名摘要"	"初步判定"
"私有_方法状态_待结果节点值"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=方法;约束=noexcept+constexpr || 1x 类别=未分类;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=存在;约束=noexcept+constexpr"	"1x 专用类/对应头文件：方法 || 1x 专用类/对应头文件：存在"	"方法类.cpp:753: constexpr I64 私有_方法状态_待结果节点值() noexcept || 方法虚拟存在服务类.cpp:135: constexpr I64 私有_方法状态_待结果节点值() noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_方法直接子节点数量"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=方法;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=存在;约束=noexcept"	"1x 专用类/对应头文件：方法 || 1x 专用类/对应头文件：存在"	"方法类.cpp:759: I64 私有_方法直接子节点数量(方法节点* 方法, 枚举_方法节点种类 节点种类) noexcept || 方法虚拟存在服务类.cpp:141: I64 私有_方法直接子节点数量(方法类::节点类* 方法, 枚举_方法节点种类 节点种类) noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_方法自我能力值"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=任务;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=自我;约束=noexcept"	"1x 专用类/对应头文件：任务 || 1x 专用类/对应头文件：自我"	"任务模块.管理工作线程.ixx:987: I64 私有_方法自我能力值(const 方法类::节点类* 方法) noexcept || 自我类.初始化.cpp:178: I64 私有_方法自我能力值(const 方法节点* 方法) noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_方法节点名称"	"2"	"2"	"0"	"1"	"2x 类别=未分类;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=语言;约束=无显式约束"	"2x 专用类/对应头文件：语言"	"语言类_二次特征表达.cpp:76: std::string 私有_方法节点名称(const 方法类::节点类* 节点) || 语言类_基础信息命名.cpp:81: std::string 私有_方法节点名称(const 方法类::节点类* 节点)"	"功能签名一致，按专用归属复核"
"私有_方法虚拟存在名称词"	"2"	"2"	"0"	"1"	"2x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=方法;约束=noexcept"	"2x 专用类/对应头文件：方法"	"方法类.cpp:263: const 语素入口节点类* 私有_方法虚拟存在名称词(const 方法节点* 方法首节点) noexcept || 本能方法类.cpp:176: const 语素入口节点类* 私有_方法虚拟存在名称词(const 结构_默认本能方法种子& 种子) noexcept"	"功能签名一致，按专用归属复核"
"私有_方法虚拟存在类型词"	"2"	"2"	"0"	"1"	"2x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=方法;约束=noexcept"	"2x 专用类/对应头文件：方法"	"方法类.cpp:254: const 语素入口节点类* 私有_方法虚拟存在类型词() noexcept || 本能方法类.cpp:186: const 语素入口节点类* 私有_方法虚拟存在类型词() noexcept"	"功能签名一致，按专用归属复核"
"私有_查找本能方法首节点"	"2"	"2"	"0"	"2"	"1x 类别=查找;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=方法;约束=noexcept || 1x 类别=查找;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept"	"1x 专用类/对应头文件：方法 || 1x 专用类/对应头文件：自我"	"本能方法类.cpp:279: 方法节点* 私有_查找本能方法首节点( 存在节点类* 自我存在, 枚举_本能方法ID 本能ID) noexcept || 自我类.cpp:417: 方法节点* 私有_查找本能方法首节点(const 自我类& 自我对象, 枚举_本能方法ID 本能ID) noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_根层重判结果文本"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=自我;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=全局通用候选;约束=noexcept"	"1x 专用类/对应头文件：自我 || 1x 原地保留/待复核"	"自我线程模块.impl.cpp:12909: const char* 私有_根层重判结果文本(枚举_任务管理根层重判结果 结果) noexcept || 鱼巢.cpp:513: const char* 私有_根层重判结果文本(枚举_任务管理根层重判结果 结果) noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_比较入口引用"	"2"	"2"	"0"	"1"	"2x 类别=比较;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=语素;约束=noexcept+static"	"2x 专用类/对应头文件：语素"	"语素主信息类.h:526: static std::int64_t 私有_比较入口引用( const 可解析引用<const 语素入口节点类>& 左, const 可解析引用<const 语素入口节点类>& 右) noexcept || 语素主信息类.h:568: static std::int64_t 私有_比较入口引用( const 可解析引用<const 语素入口节点类>& 左, const 可解析引用<const 语素入口节点类>& 右) noexcept"	"功能签名一致，按专用归属复核"
"私有_深拷贝主信息"	"2"	"1"	"1"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=全局通用候选;约束=template || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=全局通用候选;约束=static"	"2x 原地保留/待复核"	"双向链表模板_深拷贝.inl:37: template<typename 主信息类型> 主信息类型 链表模板<主信息类型>::私有_深拷贝主信息(const 主信息类型& src) || 双向链表模板核心.h:673: static 主信息类型 私有_深拷贝主信息(const 主信息类型& src)"	"同名不同功能或约束，禁止直接合并"
"私有_深拷贝树_独立_递归"	"2"	"1"	"1"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=全局通用候选;约束=template || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=全局通用候选;约束=static"	"2x 原地保留/待复核"	"双向链表模板_深拷贝.inl:53: template<typename 主信息类型> typename 链表模板<主信息类型>::节点类* 链表模板<主信息类型>::私有_深拷贝树_独立_递归(const 节点类* src) || 双向链表模板核心.h:674: static 节点类* 私有_深拷贝树_独立_递归(const 节点类* src)"	"同名不同功能或约束，禁止直接合并"
"私有_特征_任务当前步骤"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=自我;约束=无显式约束"	"2x 专用类/对应头文件：自我"	"自我类.初始化.cpp:800: const 语素入口节点类* 私有_特征_任务当前步骤() noexcept || 自我类.初始化.cpp:1038: (void)任务类::记录任务虚拟存在特征( 宿主任务, 私有_特征_任务当前步骤(), 特征值"	"同名不同功能或约束，禁止直接合并"
"私有_特征_任务当前阶段"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=自我;约束=无显式约束"	"2x 专用类/对应头文件：自我"	"自我类.初始化.cpp:848: const 语素入口节点类* 私有_特征_任务当前阶段() noexcept || 自我类.初始化.cpp:1007: (void)任务类::记录任务虚拟存在特征( 宿主任务, 私有_特征_任务当前阶段(), 特征值"	"同名不同功能或约束，禁止直接合并"
"私有_特征_任务执行方法"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept || 1x 类别=执行;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=自我;约束=无显式约束"	"2x 专用类/对应头文件：自我"	"自我类.初始化.cpp:814: const 语素入口节点类* 私有_特征_任务执行方法() noexcept || 自我类.初始化.cpp:1048: (void)任务类::记录任务虚拟存在特征( 宿主任务, 私有_特征_任务执行方法(), 特征值"	"同名不同功能或约束，禁止直接合并"
"私有_特征_目标方法头节点"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=任务;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept"	"1x 专用类/对应头文件：任务 || 1x 专用类/对应头文件：自我"	"任务模块.管理工作线程.ixx:273: const 语素入口节点类* 私有_特征_目标方法头节点() noexcept || 自我类.初始化.cpp:268: const 语素入口节点类* 私有_特征_目标方法头节点() noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_特征值文本"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=控制面板;约束=无显式约束 || 1x 类别=未分类;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=语言;约束=无显式约束"	"1x 专用类/对应头文件：控制面板 || 1x 专用类/对应头文件：语言"	"控制面板类.cpp:615: std::string 私有_特征值文本(const 特征值& 值) || 语言类_基础信息命名.cpp:56: std::string 私有_特征值文本(const 特征值& 值)"	"同名不同功能或约束，禁止直接合并"
"私有_状态特征类型"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=任务;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=方法;约束=noexcept"	"1x 专用类/对应头文件：任务 || 1x 专用类/对应头文件：方法"	"任务模块.管理工作线程.ixx:2056: const 语素入口节点类* 私有_状态特征类型(const 状态节点类* 状态) noexcept || 方法类.cpp:539: const 语素入口节点类* 私有_状态特征类型(const 状态节点类* 状态) noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_独立树添加方法子节点"	"2"	"2"	"0"	"1"	"2x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=方法;约束=无显式约束"	"2x 专用类/对应头文件：方法"	"方法类.cpp:236: 方法节点* 私有_独立树添加方法子节点(方法节点* 父节点, const 方法主信息类& 主信息) || 本能方法类.cpp:138: 方法节点* 私有_独立树添加方法子节点(方法节点* 父节点, const 方法主信息类& 主信息)"	"功能签名一致，按专用归属复核"
"私有_确保I64特征已初始化"	"2"	"2"	"0"	"2"	"1x 类别=构造;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=noexcept || 1x 类别=构造;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=存在;约束=noexcept"	"1x 专用类/对应头文件：任务 || 1x 专用类/对应头文件：存在"	"任务类.cpp:518: bool 私有_确保I64特征已初始化( 基础信息节点类* 宿主, const 语素入口节点类* 特征类型, I64 默认值, 时间戳 now) noexcept || 方法虚拟存在服务类.cpp:233: bool 私有_确保I64特征已初始化( 基础信息节点类* 宿主, const 语素入口节点类* 特征类型, I64 默认值, 时间戳 now) noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_等号字段显示文本"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=控制面板;约束=无显式约束 || 1x 类别=未分类;输入=无自定义类型;输出=文本;副作用=无明显副作用;领域=控制面板;约束=无显式约束"	"2x 专用类/对应头文件：控制面板"	"控制面板类.cpp:2546: std::string 私有_等号字段显示文本( const std::string& 名称, std::string_view 类型, const std::string& 值) || 控制面板类.cpp:2555: std::string 私有_等号字段显示文本( const std::string& 名称, const std::string& 值)"	"同名不同功能或约束，禁止直接合并"
"私有_绝对值饱和"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=无自定义类型;输出=整数/时间;副作用=无明显副作用;领域=世界;约束=noexcept || 1x 类别=未分类;输入=无自定义类型;输出=整数/时间;副作用=无明显副作用;领域=特征;约束=noexcept"	"1x 专用类/对应头文件：世界 || 1x 专用类/对应头文件：特征"	"世界树类.cpp:184: I64 私有_绝对值饱和(I64 值) noexcept || 特征类.cpp:141: I64 私有_绝对值饱和(I64 值) noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_节点主键_控制面板"	"2"	"2"	"0"	"1"	"2x 类别=未分类;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=控制面板;约束=无显式约束"	"2x 专用类/对应头文件：控制面板"	"控制面板类.cpp:895: std::string 私有_节点主键_控制面板(const 需求节点* 节点) || 控制面板类.cpp:905: std::string 私有_节点主键_控制面板(const 语素入口节点类* 节点)"	"功能签名一致，按专用归属复核"
"私有_节点在范围内"	"2"	"1"	"1"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=基础信息;约束=noexcept+static || 1x 类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=存在;约束=noexcept"	"1x 专用类/对应头文件：基础信息 || 1x 专用类/对应头文件：存在"	"基础信息类.h:84: static bool 私有_节点在范围内(const 节点类* 范围根, const 节点类* 候选节点) noexcept || 存在类.cpp:75: bool 私有_节点在范围内(const 基础信息节点类* 范围根, const 基础信息节点类* 候选节点) noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_解析U64"	"2"	"2"	"0"	"2"	"1x 类别=解析;输入=无自定义类型;输出=bool;副作用=无明显副作用;领域=控制面板;约束=noexcept || 1x 类别=解析;输入=无自定义类型;输出=整数/时间;副作用=无明显副作用;领域=全局通用候选;约束=noexcept"	"1x 专用类/对应头文件：控制面板 || 1x 全局共享函数类.ixx候选"	"控制面板WebView2.cpp:282: bool 私有_解析U64(std::wstring_view 文本, std::uint64_t& 输出值) noexcept || 线程生命周期消息模块.ixx:218: std::uint64_t 私有_解析U64(const std::string& 文本) noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_解析动态引用"	"2"	"2"	"0"	"2"	"1x 类别=解析;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=特征;约束=无显式约束 || 1x 类别=解析;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=动态;约束=无显式约束"	"1x 专用类/对应头文件：特征 || 1x 专用类/对应头文件：动态"	"二次特征应用模块.ixx:1037: 动态节点类* 私有_解析动态引用(世界树类* 世界树, const 可解析引用<动态节点类>& 引用) || 动态类.cpp:322: 动态节点类* 私有_解析动态引用(基础信息类* 基础信息, const 可解析引用<动态节点类>& 引用)"	"同名不同功能或约束，禁止直接合并"
"私有_计算距离_mm"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=无自定义类型;输出=整数/时间;副作用=无明显副作用;领域=特征;约束=noexcept || 1x 类别=未分类;输入=无自定义类型;输出=整数/时间;副作用=无明显副作用;领域=存在;约束=noexcept"	"1x 专用类/对应头文件：特征 || 1x 专用类/对应头文件：存在"	"二次特征应用模块.ixx:2135: std::int64_t 私有_计算距离_mm(const Vector3D& 左位置, const Vector3D& 右位置) noexcept || 存在类.cpp:14: std::int64_t 私有_计算距离_mm(const Vector3D& 左位置, const Vector3D& 右位置) noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_语素入口相同"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=自我;约束=noexcept"	"1x 专用类/对应头文件：任务 || 1x 专用类/对应头文件：自我"	"任务类.cpp:65: bool 私有_语素入口相同(const 语素入口节点类* 左, const 语素入口节点类* 右) noexcept || 自我类.cpp:44: bool 私有_语素入口相同(const 语素入口节点类* a, const 语素入口节点类* b) noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_读取状态时间"	"2"	"2"	"0"	"2"	"1x 类别=读取;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=特征;约束=noexcept || 1x 类别=读取;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=需求;约束=noexcept"	"1x 专用类/对应头文件：特征 || 1x 专用类/对应头文件：需求"	"二次特征应用模块.ixx:808: 时间戳 私有_读取状态时间(const 状态节点主信息类* 主信息) noexcept || 需求类.cpp:360: 时间戳 私有_读取状态时间(const 状态节点主信息类* 主信息) noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_追加JSON字符串"	"2"	"2"	"0"	"1"	"2x 类别=写入;输入=无自定义类型;输出=void;副作用=无明显副作用;领域=控制面板;约束=无显式约束"	"2x 专用类/对应头文件：控制面板"	"控制面板WebView2.cpp:526: void 私有_追加JSON字符串(std::ostringstream& 输出, std::string_view 文本) || 控制面板类.cpp:8238: void 私有_追加JSON字符串(std::ostringstream& 输出, std::string_view 文本)"	"功能签名一致，按专用归属复核"
"私有_重建缓存_已加锁"	"2"	"1"	"1"	"2"	"1x 类别=未分类;输入=无自定义类型;输出=其他;副作用=无明显副作用;领域=特征值;约束=锁约束 || 1x 类别=未分类;输入=无自定义类型;输出=void;副作用=无明显副作用;领域=特征值;约束=锁约束"	"2x 专用类/对应头文件：特征值"	"特征值类.h:29: 私有_重建缓存_已加锁() || 特征值类.h:209: void 私有_重建缓存_已加锁() const"	"同名不同功能或约束，禁止直接合并"
"私有_需求结构角色文本"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=控制面板;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=需求;约束=无显式约束"	"1x 专用类/对应头文件：控制面板 || 1x 专用类/对应头文件：需求"	"控制面板类.cpp:4627: const char* 私有_需求结构角色文本(const 枚举_需求结构角色 角色) noexcept || 需求类.cpp:88: std::string 私有_需求结构角色文本(const 枚举_需求结构角色 角色)"	"同名不同功能或约束，禁止直接合并"
"私有_饱和加"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=无自定义类型;输出=整数/时间;副作用=无明显副作用;领域=特征;约束=noexcept || 1x 类别=未分类;输入=无自定义类型;输出=整数/时间;副作用=无明显副作用;领域=自我;约束=noexcept"	"1x 专用类/对应头文件：特征 || 1x 专用类/对应头文件：自我"	"特征类.cpp:126: I64 私有_饱和加(I64 a, I64 b) noexcept || 自我类.cpp:29: I64 私有_饱和加(I64 a, I64 b) noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_默认成熟度阶段"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=方法;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=存在;约束=noexcept"	"1x 专用类/对应头文件：方法 || 1x 专用类/对应头文件：存在"	"方法类.cpp:729: I64 私有_默认成熟度阶段(const 方法主信息类& 主信息) noexcept || 方法虚拟存在服务类.cpp:102: I64 私有_默认成熟度阶段(const 方法主信息类& 主信息) noexcept"	"同名不同功能或约束，禁止直接合并"
"筹办_构造需求生命周期上下文"	"2"	"2"	"0"	"1"	"2x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=任务;约束=noexcept"	"2x 专用类/对应头文件：任务"	"任务模块.筹办.ixx:1038: 结构_需求生命周期上下文_筹办 筹办_构造需求生命周期上下文( const 需求节点* 来源需求) noexcept || 任务模块.筹办.ixx:1089: 结构_需求生命周期上下文_筹办 筹办_构造需求生命周期上下文( const 任务节点* 任务头) noexcept"	"功能签名一致，按专用归属复核"
"类型_参数配对结果存在"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1858: inline const 语素入口节点类* 类型_参数配对结果存在() noexcept || 自我动作实现模块.ixx:1351: inline const 语素入口节点类* 类型_参数配对结果存在() noexcept"	"同名不同功能或约束，禁止直接合并"
"类型_方法配对结果存在"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1893: inline const 语素入口节点类* 类型_方法配对结果存在() noexcept || 自我动作实现模块.ixx:1386: inline const 语素入口节点类* 类型_方法配对结果存在() noexcept"	"同名不同功能或约束，禁止直接合并"
"类型_运行虚拟存在"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:1559: inline const 语素入口节点类* 类型_运行虚拟存在() noexcept || 自我动作实现模块.ixx:1052: inline const 语素入口节点类* 类型_运行虚拟存在() noexcept"	"同名不同功能或约束，禁止直接合并"
"类型_需求_修复实例特征写入能力"	"2"	"2"	"0"	"2"	"1x 类别=写入;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=写入;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7429: inline const 语素入口节点类* 类型_需求_修复实例特征写入能力() noexcept || 自我动作实现模块.ixx:2590: inline const 语素入口节点类* 类型_需求_修复实例特征写入能力() noexcept"	"同名不同功能或约束，禁止直接合并"
"类型_需求_实例化特征"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7401: inline const 语素入口节点类* 类型_需求_实例化特征() noexcept || 自我动作实现模块.ixx:2562: inline const 语素入口节点类* 类型_需求_实例化特征() noexcept"	"同名不同功能或约束，禁止直接合并"
"类型_需求_确定执行差值或目标值"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7415: inline const 语素入口节点类* 类型_需求_确定执行差值或目标值() noexcept || 自我动作实现模块.ixx:2576: inline const 语素入口节点类* 类型_需求_确定执行差值或目标值() noexcept"	"同名不同功能或约束，禁止直接合并"
"类型_需求_确定特征当前值"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7408: inline const 语素入口节点类* 类型_需求_确定特征当前值() noexcept || 自我动作实现模块.ixx:2569: inline const 语素入口节点类* 类型_需求_确定特征当前值() noexcept"	"同名不同功能或约束，禁止直接合并"
"类型_需求_重新配对参数或调整目标值"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:7422: inline const 语素入口节点类* 类型_需求_重新配对参数或调整目标值() noexcept || 自我动作实现模块.ixx:2583: inline const 语素入口节点类* 类型_需求_重新配对参数或调整目标值() noexcept"	"同名不同功能或约束，禁止直接合并"
"索引"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=无自定义类型;输出=整数/时间;副作用=无明显副作用;领域=外设;约束=inline+static || 1x 类别=执行;输入=无自定义类型;输出=整数/时间;副作用=无明显副作用;领域=全局通用候选;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 全局共享函数类.ixx候选"	"D455相机类.cpp:264: static inline std::size_t 索引(int u, int v, int w) || 基础数据类型.h:1272: [[nodiscard]] inline std::size_t 索引(int u, int v) const noexcept"	"同名不同功能或约束，禁止直接合并"
"结构体_分词"	"2"	"1"	"1"	"2"	"1x 类别=执行;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束 || 1x 类别=执行;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束"	"2x 原地保留/待复核"	"基础数据类型.h:533: 结构体_分词() = default || 基础数据类型.h:536: 结构体_分词(std::string 词_, std::string 词性_) :词(词_), 词性(词性_)"	"同名不同功能或约束，禁止直接合并"
"绝对差I64"	"2"	"2"	"0"	"2"	"1x 类别=执行;输入=无自定义类型;输出=整数/时间;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=无自定义类型;输出=整数/时间;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:10538: inline I64 绝对差I64(I64 a, I64 b) noexcept || 自我动作实现.扫描.ixx:844: inline I64 绝对差I64(I64 左, I64 右) noexcept"	"同名不同功能或约束，禁止直接合并"
"继承缺失引用_已加锁"	"2"	"0"	"2"	"1"	"2x 类别=执行;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=需求;约束=锁约束"	"2x 专用类/对应头文件：需求"	"需求类.h:790: 继承缺失引用_已加锁(主信息.需求主体, 父主信息->需求主体) || 需求类.h:791: 继承缺失引用_已加锁(主信息.需求场景, 父主信息->需求场景)"	"功能签名一致，按专用归属复核"
"自我扫描当前场景"	"2"	"2"	"0"	"2"	"1x 类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept || 1x 类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"2x 专用类/对应头文件：自我"	"自我动作实现.扫描.ixx:1852: export 存在节点类* 自我扫描当前场景( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12464: inline 存在节点类* 自我扫描当前场景( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我类::根任务权重"	"2"	"2"	"0"	"1"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept"	"2x 专用类/对应头文件：自我"	"自我类.cpp:1849: 自我类::结构_根任务权重& 自我类::根任务权重() noexcept || 自我类.cpp:1855: const 自我类::结构_根任务权重& 自我类::根任务权重() const noexcept"	"功能签名一致，按专用归属复核"
